raw_activity,clean_activity
Retail Sales of General Merchandise and Non-Perishable Food | Operation of Industrial Private Event Venue,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Storage or Use of Hazardous Materials,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Perishable Foods | Retail Sales of Live Poultry,Retail Sales of Perishable Foods
"Preparation of Food, Coffee or Drinks | Retail Sales of Fresh Fruits and Vegetables (Leafy and Non Leafy Vegetables) | Retail Sales of Perishable Foods | Retail Sales of General Merchandise",Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Operation of a Self Storage Facility | Retail Sales of General Merchandise,Retail Sales of Perishable Foods
"Preparation of Food, Coffee or Drinks | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Perishable Foods | Sale of Food Prepared Onsite Without Dining Area",Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Sale of Food Prepared Onsite Without Dining Area | Retail Sales of General Merchandise,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Sale of Food Prepared Onsite With Dining Area | Retail Sales of General Merchandise,Retail Sales of Perishable Foods
Buying and Reselling of Used Valuable Objects | Retail Sales of General Merchandise and Non-Perishable Food,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Rental of Furniture | Retail Sales of General Merchandise,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Enagage in Wholesale Sales,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Fresh Fruits | Retail Sales of Non-Leafy Vegetables,Retail Sales of Perishable Foods
Retail Sales of Non-Leafy Vegetables,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of General Merchandise | Retail Sales of Cell Phones and Accessories,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Travel Services,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Perishable Foods | Preparation and Sale of Coffee and/or Drinks,Retail Sales of Perishable Foods
Retail Sales of Fresh Fruits and Vegetables (Leafy and Non Leafy Vegetables) | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Perishable Foods | Retail Sales of General Merchandise | Retail Sales and Wholesale of Perishable Foods,Retail Sales of Perishable Foods
Retail Sale of Food for Offsite Consumption | Sale of Food Prepared Onsite With Dining Area,Retail Sales of Perishable Foods
Provide Business and Management Consulting | Retail Sales of General Merchandise and Non-Perishable Food,Retail Sales of Perishable Foods
Retail Sales of General Merchandise | Retail Sales of Non-Leafy Vegetables,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of New Electronics and Accessories | Retail Sales of Perishable Foods,Retail Sales of Perishable Foods
Retail Sales of Perishable Foods | Preparation and Sale of Coffee and/or Drinks,Retail Sales of Perishable Foods
Retail Sales of Perishable Foods | Automatic Food Vending Machine Business,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Operation of a Hand Car Wash | Engine and Body Work w/ Spray Booth | Sales / Rental / Lease of Motorized Vehicles - Indoor Sales | Sales / Rental / Lease of Motorized Vehicles - Outdoor Sales,Retail Sales of Perishable Foods
Miscellaneous Commercial Services | Retail Sales of General Merchandise and Non-Perishable Food | Provide Computer Design/Development Consulting,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Manufacturing of Furniture or Household Goods,Retail Sales of Perishable Foods
Retail Sales of Outdoor Equipment and Supplies,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Manufacturing of Miscellaneous Items,Retail Sales of Perishable Foods
"Preparation of Food, Coffee or Drinks | Retail Sales of Fresh Fruits and Vegetables (Leafy and Non Leafy Vegetables) | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Perishable Foods | Sale of Food Prepared Onsite With Dining Area | Retail Sales and Wholesale of Perishable Foods",Retail Sales of Perishable Foods
Retail Sales of Fresh Fruits and Vegetables (Leafy and Non Leafy Vegetables) | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of General Merchandise,Retail Sales of Perishable Foods
Sale of Food Prepared Onsite With Dining Area | Sale of Food Prepared Onsite Without Dining Area | Retail Sales of General Merchandise,Retail Sales of Perishable Foods
Retail Sales of Fresh Fruits and Vegetables (Leafy and Non Leafy Vegetables) | Retail Sales of General Merchandise and Non-Perishable Food | Sale of Food Prepared Onsite With Dining Area,Retail Sales of Perishable Foods
Retail Sales of General Merchandise | Retail Sales and Wholesale of Perishable Foods,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Sale of Furniture | Sale of Art | Retail Sales of Clothing / Accessories / Shoes,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Sales / Rental / Lease of Motorized Vehicles - Indoor Sales,Retail Sales of Perishable Foods
"Preparation of Food, Coffee or Drinks | Retail Sales of General Merchandise",Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Perishable Foods | Sale of Food Prepared Onsite Without Dining Area | Retail Sales of General Merchandise,Retail Sales of Perishable Foods
"Preparation of Food, Coffee or Drinks | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of General Merchandise",Retail Sales of Perishable Foods
Retail Sales of Perishable Foods | Retail Sales of Flowers,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Operation of a Financial Services Commercial Office,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of General Merchandise | Sale of Books,Retail Sales of Perishable Foods
Retail Sales of Fresh Fruits and Vegetables (Leafy and Non Leafy Vegetables) | Retail Sales of General Merchandise and Non-Perishable Food | Sale of Food Prepared Onsite Without Dining Area,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Used Electronics | Retail Sales of Cell Phones and Accessories,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales and Wholesale of Perishable Foods,Retail Sales of Perishable Foods
"Preparation of Food, Coffee or Drinks | Retail Sales of Fresh Fruits and Vegetables (Leafy and Non Leafy Vegetables) | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Laundry Cleaning Products | Retail Sales of Perishable Foods | Retail Sales of General Merchandise",Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Sale of Food Prepared Onsite With Dining Area | Retail Sales of General Merchandise | Preparation and Sale of Coffee and/or Drinks,Retail Sales of Perishable Foods
Sale of Food Prepared Onsite Without Dining Area | Retail Sales and Wholesale of Perishable Foods,Retail Sales of Perishable Foods
"Preparation of Food, Coffee or Drinks | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Perishable Foods | Sale of Food Prepared Onsite With Dining Area",Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Perishable Foods | Sale of Food Prepared Onsite With Dining Area,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Sale of Furniture,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Clothing / Accessories / Shoes | Retail Sales of Flowers,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Perishable Foods | Shipping / Printing Services,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Clothing / Accessories / Shoes | Retail Sales of Cell Phones and Accessories,Retail Sales of Perishable Foods
"Miscellaneous Commercial Services | Preparation of Food and Dining on Premises With Seating | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of New Electronics and Accessories | Selling Cable, Satellite, or Internet Services | Retail Sales of Flowers | Retail Sales of Cell Phones and Accessories",Retail Sales of Perishable Foods
Retail Sales of Perishable Foods | Sale of Furniture | Retail Sales of General Merchandise | Retail Sales of Clothing / Accessories / Shoes,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Shoe / Leather Goods Repair,Retail Sales of Perishable Foods
Miscellaneous Commercial Services | Retail Sales of Appliances,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Perishable Foods | Retail Sales and Wholesale of Perishable Foods,Retail Sales of Perishable Foods
Miscellaneous Commercial Services | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Perishable Foods | Shipping / Printing Services,Retail Sales of Perishable Foods
Retail Sales of Perishable Foods | Sale of Food Prepared Onsite With Dining Area | Preparation and Sale of Coffee and/or Drinks,Retail Sales of Perishable Foods
Retail Sales and Wholesale of Perishable Foods | Preparation and Sale of Coffee and/or Drinks,Retail Sales of Perishable Foods
"Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Flowers | Rental of Chairs, Tables, Linens and other Party Supplies",Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Sale of Food Prepared Onsite With Dining Area | Retail Sales and Wholesale of Perishable Foods | Preparation and Sale of Coffee and/or Drinks,Retail Sales of Perishable Foods
Sale of Food Prepared Onsite Without Dining Area | Retail Sales of General Merchandise,Retail Sales of Perishable Foods
Retail Sale of Food for Offsite Consumption | Retail Sales of Perishable Foods,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Sale of Art,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Shared Kitchen User - Long Term,Retail Sales of Perishable Foods
Retail Sales of Perishable Foods | Retail Sales and Wholesale of Perishable Foods,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Sale of Furniture | Retail Sales of Clothing / Accessories / Shoes,Retail Sales of Perishable Foods
"Preparation of Food, Coffee or Drinks | Retail Sales of Perishable Foods | Retail Sales of Cell Phones and Accessories",Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Installation of Car Alarms | Installation of Car Radio/Audio Systems,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Sale of Food Prepared Onsite With Dining Area | Sale of Food Prepared Onsite Without Dining Area | Preparation and Sale of Coffee and/or Drinks,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Perishable Foods | Sale of Food Prepared Onsite Without Dining Area,Retail Sales of Perishable Foods
"Preparation of Food, Coffee or Drinks | Retail Sales of Perishable Foods | Retail Sales of General Merchandise",Retail Sales of Perishable Foods
Retail Sales of Fresh Fruits and Vegetables (Leafy and Non Leafy Vegetables) | Sale of Food Prepared Onsite With Dining Area,Retail Sales of Perishable Foods
"Preparation of Food, Coffee or Drinks | Retail Sales of Fresh Fruits and Vegetables (Leafy and Non Leafy Vegetables) | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Perishable Foods | Sale of Food Prepared Onsite With Dining Area",Retail Sales of Perishable Foods
Retail Food-Seasonal Lakefront,Retail Sales of Perishable Foods
Retail Sales of Fresh Fruits | Retail Sales of Non-Leafy Vegetables,Retail Sales of Perishable Foods
Miscellaneous Commercial Services | Preparation and Sale of Coffee and/or Drinks,Retail Sales of Perishable Foods
Retail Sales of General Merchandise | Retail Sales of Appliances,Retail Sales of Perishable Foods
Sale of Food Prepared Onsite With Dining Area | Retail Sales and Wholesale of Perishable Foods,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Virtual Office Services,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of New Electronics and Accessories | Retail Sales of Cell Phones and Accessories,Retail Sales of Perishable Foods
Retail Sale of Food for Offsite Consumption | Retail Sales and Wholesale of Perishable Foods,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Manufacturing of Furniture or Household Goods | Upholstery Cleaning/Repair - Onsite,Retail Sales of Perishable Foods
"Preparation of Food, Coffee or Drinks | Retail Sales of Perishable Foods | Sale of Food Prepared Onsite With Dining Area | Retail Sales and Wholesale of Perishable Foods",Retail Sales of Perishable Foods
Retail Sale of Food for Offsite Consumption | Sale of Food Prepared Onsite Without Dining Area,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Perishable Foods | Sale of Food Prepared Onsite With Dining Area | Preparation and Sale of Coffee and/or Drinks,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Shipping / Printing Services | Operation of a Financial Services Commercial Office,Retail Sales of Perishable Foods
Miscellaneous Commercial Services | Retail Sales of General Merchandise and Non-Perishable Food | Shipping / Printing Services,Retail Sales of Perishable Foods
Immigration Services | Retail Sales of General Merchandise and Non-Perishable Food,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Fresh Fruits,Retail Sales of Perishable Foods
Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Cell Phones and Accessories,Retail Sales of Perishable Foods
Miscellaneous Commercial Services | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Outdoor Equipment and Supplies | Sale of Furniture,Retail Sales of Perishable Foods
Engage in Food Manufacturing | Enagage in Wholesale Food Sales,Shared Kitchen User - Long Term
Sales of Packaged Frozen Desserts From a Non-Motorized Cart (Mobile Desserts Vendor),Shared Kitchen User - Long Term
Engage in Direct Food Sales to Businesses | Enagage in Wholesale Sales,Shared Kitchen User - Long Term
1 Yr Multiple Events - Special Event Food,Shared Kitchen User - Long Term
"180 Day Pop-Up Food Est. User - Tier I (Sale of Pre-Packaged, Non-Perishable Food)",Shared Kitchen User - Long Term
Sales of Produce From a Produce Stand Located on an Urban Farm (Produce Merchant),Shared Kitchen User - Long Term
Shared Kitchen User - Long Term | Shared Kitchen User - Long Term Sale of Food Prepared Onsite (Includes the Use of Tier II Pop Up Food Est. User License),Shared Kitchen User - Long Term
Engage in Direct Food Sales to Businesses | Engage in Food Manufacturing | Enagage in Wholesale Food Sales,Shared Kitchen User - Long Term
"180 Day Multiple Events - Special Event Food, Mobile Food Vehicle",Shared Kitchen User - Long Term
Manufacturing of Pet Food / Non-Human Food,Shared Kitchen User - Long Term
Shared Kitchen User - Long Term | Shared Kitchen User - Long Term Sale of Food Prepared Onsite (Includes the Use of Tier III Pop Up Food Est. User License),Shared Kitchen User - Long Term
Shared Kitchen User - Long Term | Shared Kitchen User - Short Term (90 Days or Less - Not Renewable),Shared Kitchen User - Long Term
Growing Produce on an Urban Farm (No Preparation or Storage of Food),Shared Kitchen User - Long Term
Preparation of Food AND Sales of Previously Prepared Food from a Mobile Food Vehicle/Truck,Shared Kitchen User - Long Term
"Vending Machines (Sodas, Candy, Chips) | Hair Services",Shared Kitchen User - Long Term
Operation of a Shared Kitchen,Shared Kitchen User - Long Term
Preparation and Sale of Food (ONLY) from a Mobile Food Truck (Mobile Food Preparer) | Preparation of Food AND Sales of Previously Prepared Food from a Mobile Food Vehicle/Truck,Shared Kitchen User - Long Term
Engage in Direct Food Sales to Businesses | Engage in Food Manufacturing,Shared Kitchen User - Long Term
"Vending Machines (Sodas, Candy, Chips)",Shared Kitchen User - Long Term
Engage in Direct Food Sales to Businesses,Shared Kitchen User - Long Term
Shared Kitchen User - Long Term,Shared Kitchen User - Long Term
"Sales of Produce, Vegetables, Flowers or Beverages From a Non-Motorized Temporary Structure (Produce Merchant)",Shared Kitchen User - Long Term
Automatic Food Vending Machine Business,Shared Kitchen User - Long Term
Operation of a Shared Kitchen - Secondary to Primary Business (Supplemental),Shared Kitchen User - Long Term
Engage in Direct Food Sales to Businesses | Enagage in Wholesale Food Sales,Shared Kitchen User - Long Term
Engage in Food Manufacturing,Shared Kitchen User - Long Term
180 Day Multiple Events - Special Event Food,Shared Kitchen User - Long Term
Preparation and Sale of Food (ONLY) from a Mobile Food Truck (Mobile Food Preparer),Shared Kitchen User - Long Term
Shared Kitchen User - Short Term (90 Days or Less - Not Renewable),Shared Kitchen User - Long Term
5 Day Single Event  - Special Event Food,Shared Kitchen User - Long Term
Pop-Up Food Est. User Host - Tier II (Pre-Packaged Prepared Hot/Cold Food. Final Prep On-Site),Shared Kitchen User - Long Term
Shared Kitchen User - Long Term Sale of Food Prepared Onsite (Includes the Use of Tier II Pop Up Food Est. User License),Shared Kitchen User - Long Term
Sales of Packaged Food From a Non-Motorized Cart (Mobile Prepared Food Vendor),Shared Kitchen User - Long Term
Miscellaneous Commercial Services | Automatic Food Vending Machine Business,Shared Kitchen User - Long Term
Sales of Previously Prepared Food (ONLY) that is Enclosed or Wrapped In Individual Portions From a Mobile Food Vehicle (Mobile Food Dispenser),Shared Kitchen User - Long Term
Payment Center | Renting Computer Terminals for Internet Use | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Cell Phones and Accessories,Shipping / Printing Services
Payment Center | Retail Sales of Cell Phones and Accessories,Shipping / Printing Services
Shipping / Printing Services | Operation of a Financial Services Commercial Office,Shipping / Printing Services
Miscellaneous Personal Services | Payment Center,Shipping / Printing Services
Shipping / Printing Services | Travel Services,Shipping / Printing Services
Provide Graphic Design and Consultation Services | Shipping / Printing Services,Shipping / Printing Services
Shipping / Printing Services,Shipping / Printing Services
Enagage in Printing Services and Related Production Activities,Shipping / Printing Services
Miscellaneous Commercial Services | Payment Center | Renting Computer Terminals for Internet Use | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Cell Phones and Accessories,Shipping / Printing Services
"Payment Center | Selling Cable, Satellite, or Internet Services | Retail Sales of Cell Phones and Accessories",Shipping / Printing Services
Miscellaneous Commercial Services | Payment Center,Shipping / Printing Services
Payment Center | Retail Sales of General Merchandise and Non-Perishable Food,Shipping / Printing Services
Payment Center,Shipping / Printing Services
Enagage in Printing Services and Related Production Activities | Shipping / Printing Services,Shipping / Printing Services
Miscellaneous Commercial Services | Payment Center | Shipping / Printing Services | Retail Sales of Cell Phones and Accessories,Shipping / Printing Services
Miscellaneous Commercial Services | Shipping / Printing Services,Shipping / Printing Services
Payment Center | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of New Electronics and Accessories | Retail Sales of Cell Phones and Accessories,Shipping / Printing Services
Provide Business and Management Consulting | Shipping / Printing Services,Shipping / Printing Services
Payment Center | Retail Sales of New Electronics and Accessories | Retail Sales of Cell Phones and Accessories,Shipping / Printing Services
Enagage in Printing Services and Related Production Activities | Manufacturing of Miscellaneous Items,Shipping / Printing Services
Shipping / Printing Services | Virtual Office Services,Shipping / Printing Services
Enagage in Printing Services and Related Production Activities | Enagage in Wholesale Sales,Shipping / Printing Services
Enagage in Printing Services and Related Production Activities | Retail Sales of Clothing / Accessories / Shoes,Shipping / Printing Services
Miscellaneous Commercial Services | Payment Center | Retail Sales of Cell Phones and Accessories,Shipping / Printing Services
Payment Center | Retail Sales of New Electronics and Accessories,Shipping / Printing Services
Miscellaneous Commercial Services | Retail Sales of Cell Phones and Accessories,Shipping / Printing Services
Enagage in Printing Services and Related Production Activities | Retail Sales of General Merchandise and Non-Perishable Food,Shipping / Printing Services
Payment Center | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Cell Phones and Accessories,Shipping / Printing Services
Payment Center | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Cell Phones and Accessories | Buying and Reselling of Used Cell Phones,Shipping / Printing Services
Shipping / Printing Services | Miscellaneous Commercial Services,Shipping / Printing Services
Shipping / Printing Services | Enagage in Wholesale Sales,Shipping / Printing Services
Miscellaneous Commercial Services | Payment Center | Shipping / Printing Services,Shipping / Printing Services
Manufacturing of Signs | Enagage in Printing Services and Related Production Activities | Retail Sales of General Merchandise and Non-Perishable Food,Shipping / Printing Services
"Payment Center | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of New Electronics and Accessories | Selling Cable, Satellite, or Internet Services | Retail Sales of Cell Phones and Accessories",Shipping / Printing Services
"Payment Center | Retail Sales of New Electronics and Accessories | Selling Cable, Satellite, or Internet Services",Shipping / Printing Services
Payment Center | Operation of a Financial Services Commercial Office | Retail Sales of Cell Phones and Accessories,Shipping / Printing Services
Payment Center | Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Clothing / Accessories / Shoes,Shipping / Printing Services
"Payment Center | Sales of Tickets (Airline, Etc)",Shipping / Printing Services
Shipping / Printing Services | Operation of a Financial Services Commercial Office | Retail Sales of Cell Phones and Accessories,Shipping / Printing Services
"Storage or Use of Hazardous Materials (MFG) | Manufacturing of Wood Products, Leather, or Paper Products",Storage or Use of Hazardous Materials
Miscellaneous Commercial Services | Storage or Use of Hazardous Materials (MFG) | Manufacturing of Miscellaneous Items,Storage or Use of Hazardous Materials
"Storage of More Than 30 Gallons of Hazardous Materials (Paint Thinner, Lacquer, Oil Based Paints)",Storage or Use of Hazardous Materials
"Storage or Use of Hazardous Materials | Retail Sales of General Merchandise | Wholesale and Distribution of Welding, Safety, and Related Products | Wholesale and Distribution of Industrial, Medical, and Specialty Gases (Hazardous Materials)",Storage or Use of Hazardous Materials
Manufacturing of Signs | Storage or Use of Hazardous Materials (MFG),Storage or Use of Hazardous Materials
Retail Sales of General Merchandise and Non-Perishable Food | Storage or Use of Hazardous Materials (MFG) | Manufacturing of Miscellaneous Items,Storage or Use of Hazardous Materials
Manufacturing of Drugs or Chemicals | Storage or Use of Hazardous Materials (MFG) | Manufacturing of Miscellaneous Items,Storage or Use of Hazardous Materials
Storage or Use of Hazardous Materials (MFG) | Enagage in Wholesale Sales | Manufacturing of Miscellaneous Items,Storage or Use of Hazardous Materials
Storage or Use of Hazardous Materials | Retail Sales of General Merchandise,Storage or Use of Hazardous Materials
Operate a Machine Shop / Foundry | Storage or Use of Hazardous Materials (MFG),Storage or Use of Hazardous Materials
"Manufacturing of Plastics, Foams, Construction Materials, Glass, or Rubber | Storage or Use of Hazardous Materials (MFG) | Manufacturing of Wood Products, Leather, or Paper Products",Storage or Use of Hazardous Materials
"Retail Sales of General Merchandise and Non-Perishable Food | Storage or Use of Hazardous Materials (MFG) | Manufacturing of Wood Products, Leather, or Paper Products",Storage or Use of Hazardous Materials
Home Repair Services | Storage or Use of Hazardous Materials,Storage or Use of Hazardous Materials
Storage or Use of Hazardous Materials On Site (MVR),Storage or Use of Hazardous Materials
Storage or Use of Hazardous Materials | Enagage in Wholesale Sales,Storage or Use of Hazardous Materials
Storage or Use of Hazardous Materials On Site (MVR) | Engine and Body Work w/ Spray Booth,Storage or Use of Hazardous Materials
Storage or Use of Hazardous Materials (MFG),Storage or Use of Hazardous Materials
Retail Sales of General Merchandise and Non-Perishable Food | Storage or Use of Hazardous Materials (MFG) | Manufacturing of Furniture or Household Goods,Storage or Use of Hazardous Materials
Storage or Use of Hazardous Materials (MFG) | Manufacturing of Furniture or Household Goods,Storage or Use of Hazardous Materials
Miscellaneous Commercial Services | Storage or Use of Hazardous Materials,Storage or Use of Hazardous Materials
Manufacturing of Drugs or Chemicals | Storage or Use of Hazardous Materials (MFG),Storage or Use of Hazardous Materials
Storage or Use of Hazardous Materials (MFG) | Manufacturing of Miscellaneous Items,Storage or Use of Hazardous Materials
Storage or Use of Hazardous Materials,Storage or Use of Hazardous Materials
Manufacturing of Machinery / Machine Parts | Storage or Use of Hazardous Materials (MFG),Storage or Use of Hazardous Materials
Storage or Use of Hazardous Materials On Site (MVR) | Provide Oil Change Services | Install/Replace Car Batteries,Storage or Use of Hazardous Materials
"Manufacturing of Plastics, Foams, Construction Materials, Glass, or Rubber | Storage or Use of Hazardous Materials (MFG)",Storage or Use of Hazardous Materials
Storage or Use of Hazardous Materials (MFG) | Manufacturing of Furniture or Household Goods | Sale of Furniture,Storage or Use of Hazardous Materials
"Supervision of, and Care for Children, During the Evening between 9pm-6am","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children Under 2 Years of Age, During the Day between 6am-9pm","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm | Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm With Before and After School Programs","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm | Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm | Supervision of, and Care for, Children Under 2 Years of Age, During the Day between 6am-9pm","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm | Supervision of, and Care for, Children Under 2 Years of Age, During the Day between 6am-9pm With Before and After School Programs","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm With Before and After School Programs | Supervision of, and Care for, Children Under 2 Years of Age, During the Day between 6am-9pm With Before and After School Programs","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children Under 2 Years of Age, During the Day between 6am-9pm With Before and After School Programs","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for Children, During the Evening between 9pm-6am | Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm With Before and After School Programs | Supervision of, and Care for, Children Under 2 Years of Age, During the Day between 6am-9pm | After School Program / Tutoring Children Under 18 Years of Age","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm | Hair Services","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for Children, During the Evening between 9pm-6am | Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm With Before and After School Programs","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm With Before and After School Programs | Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm | Supervision of, and Care for, Children Under 2 Years of Age, During the Day between 6am-9pm With Before and After School Programs","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm With Before and After School Programs | Supervision of, and Care for, Children Under 2 Years of Age, During the Day between 6am-9pm With Before and After School Programs","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm With Before and After School Programs | Supervision of, and Care for, Children Under 2 Years of Age, During the Day between 6am-9pm","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm With Before and After School Programs | After School Program / Tutoring Children Under 18 Years of Age","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for Children, During the Evening between 9pm-6am | Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm | Supervision of, and Care for, Children Under 2 Years of Age, During the Day between 6am-9pm","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for Children, During the Evening between 9pm-6am | Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
"Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm | Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm With Before and After School Programs | Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm | Supervision of, and Care for, Children Under 2 Years of Age, During the Day between 6am-9pm","Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm"
